Generated bids: 
(traderName, bidId, bidType, price, quantity)
( Seller,   0,   A,   77,   36 )
( Seller,   1,   A,   111,   21 )
( Seller,   2,   A,   114,   17 )
( Seller,   3,   A,   128,   18 )
( Seller,   4,   A,   133,   19 )
( Seller,   5,   A,   104,   46 )
( Seller,   6,   A,   135,   6 )
( Seller,   7,   A,   55,   23 )
( Seller,   8,   A,   133,   12 )
( Seller,   9,   A,   59,   10 )
( Buyer,   10,   B,   131,   47 )
( Buyer,   11,   B,   132,   6 )
( Buyer,   12,   B,   126,   40 )
( Buyer,   13,   B,   94,   9 )
( Buyer,   14,   B,   123,   28 )
( Buyer,   15,   B,   128,   30 )
( Buyer,   16,   B,   89,   26 )
( Buyer,   17,   B,   82,   47 )
( Buyer,   18,   B,   122,   34 )
( Buyer,   19,   B,   128,   24 )
