Generated bids: 
(traderName, bidId, bidType, price, quantity)
( Seller,   0,   A,   69.901120,   42 )
( Seller,   1,   A,   51.382488,   41 )
( Seller,   2,   A,   56.131169,   11 )
( Seller,   3,   A,   148.248238,   38 )
( Seller,   4,   A,   81.421857,   9 )
( Seller,   5,   A,   55.328532,   44 )
( Seller,   6,   A,   139.269692,   38 )
( Seller,   7,   A,   132.927946,   17 )
( Seller,   8,   A,   141.933958,   17 )
( Seller,   9,   A,   118.068484,   19 )
( Buyer,   10,   B,   62.598041,   42 )
( Buyer,   11,   B,   128.868984,   39 )
( Buyer,   12,   B,   99.586474,   29 )
( Buyer,   13,   B,   67.529832,   25 )
( Buyer,   14,   B,   128.283029,   10 )
( Buyer,   15,   B,   112.587359,   21 )
( Buyer,   16,   B,   56.360057,   33 )
( Buyer,   17,   B,   141.036714,   18 )
( Buyer,   18,   B,   147.976623,   14 )
( Buyer,   19,   B,   70.969268,   21 )
Matched Bids: 
